country_name,country_iso,provider,region_code,gpu_class,budget_usd,reference_hours,normalization_method,availability_class,alpha_availability,on_demand_usd_per_gpu_hr,nominal_run_cost_usd,ppp_factor,normalization_value,adjusted_run_cost_usd,runs_per_budget,affordable_chips,eca_economic_tflops,eca_nominal_tflops,bis_tier,eca_scenario_a,eca_scenario_b_low,eca_scenario_b_mid,eca_scenario_b_high,eca_scenario_c,eca_continuous_tflops,eca_continuous_scenario_a,eca_continuous_scenario_b_mid,ratio_to_usa_scenario_a,is_local_region,data_sovereignty_class
United Kingdom,GBR,gcp,us-central1,A100_SXM4,10000.0,720,ppp,GA,1.0,1.47,1058.4,0.85,0.85,1245.18,8.031,8,2496.0,2808.0,1,2496.0,2496.0,2496.0,2496.0,2496.0,2505.7,2505.7,2505.7,0.889,False,cross_border_restricted
United Kingdom,GBR,azure,uksouth,H100_SXM5,10000.0,720,ppp,GA,1.0,15.915,11458.8,0.85,0.85,13480.94,0.742,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,734.0,734.0,734.0,0.0,True,cross_border_restricted
United Kingdom,GBR,azure,uksouth,A100_SXM4,10000.0,720,ppp,GA,1.0,5.672,4083.84,0.85,0.85,4804.52,2.081,2,624.0,624.0,1,624.0,624.0,624.0,624.0,624.0,649.4,649.4,649.4,1.0,True,cross_border_restricted
India,IND,aws,ap-south-1,H100_SXM5,10000.0,720,ppp,GA,1.0,3.933,2831.76,0.24,0.24,11799.0,0.848,0,0.0,2968.5,2,0.0,0.0,0.0,0.0,0.0,838.6,838.6,419.3,0.0,True,cross_border_restricted
India,IND,aws,ap-south-1,A100_SXM4,10000.0,720,ppp,GA,1.0,1.475,1062.0,0.24,0.24,4425.0,2.26,2,624.0,2808.0,2,624.0,187.2,312.0,436.8,0.0,705.1,705.1,352.5,0.222,True,cross_border_restricted
India,IND,gcp,asia-south1,H100_SXM5,10000.0,720,ppp,Limited,0.5,4.01,2887.2,0.24,0.24,12030.0,0.831,0,0.0,2968.5,2,0.0,0.0,0.0,0.0,0.0,822.5,411.3,205.6,0.0,True,cross_border_restricted
India,IND,gcp,asia-south1,A100_SXM4,10000.0,720,ppp,GA,1.0,1.54,1108.8,0.24,0.24,4620.0,2.165,2,624.0,2808.0,2,624.0,187.2,312.0,436.8,0.0,675.3,675.3,337.7,0.222,True,cross_border_restricted
India,IND,azure,eastus,H100_SXM5,10000.0,720,ppp,GA,1.0,12.29,8848.8,0.24,0.24,36870.0,0.271,0,0.0,989.5,2,0.0,0.0,0.0,0.0,0.0,268.4,268.4,134.2,0.0,False,cross_border_restricted
India,IND,azure,southindia,A100_SXM4,10000.0,720,ppp,GA,1.0,6.737,4850.64,0.24,0.24,20211.0,0.495,0,0.0,624.0,2,0.0,0.0,0.0,0.0,0.0,154.4,154.4,77.2,0.0,True,cross_border_restricted
Brazil,BRA,aws,sa-east-1,H100_SXM5,10000.0,720,ppp,Limited,0.5,3.933,2831.76,0.39,0.39,7260.92,1.377,1,989.5,2968.5,2,494.8,148.4,247.4,346.3,0.0,1362.8,681.4,340.7,0.167,True,cross_border_restricted
Brazil,BRA,aws,sa-east-1,A100_SXM4,10000.0,720,ppp,GA,1.0,1.475,1062.0,0.39,0.39,2723.08,3.672,3,936.0,2808.0,2,936.0,280.8,468.0,655.2,0.0,1145.8,1145.8,572.9,0.333,True,cross_border_restricted
Brazil,BRA,gcp,us-central1,H100_SXM5,10000.0,720,ppp,GA,1.0,3.82,2750.4,0.39,0.39,7052.31,1.418,1,989.5,2968.5,2,989.5,296.8,494.8,692.6,0.0,1403.1,1403.1,701.5,0.333,False,cross_border_restricted
Brazil,BRA,gcp,us-central1,A100_SXM4,10000.0,720,ppp,GA,1.0,1.47,1058.4,0.39,0.39,2713.85,3.685,3,936.0,2808.0,2,936.0,280.8,468.0,655.2,0.0,1149.7,1149.7,574.8,0.333,False,cross_border_restricted
