normalization_method,country_iso,country_name,provider,gpu_class,eca_scenario_a,eca_scenario_b_mid,runs_per_budget,ratio_to_usa
gdp_per_capita,JPN,Japan,gcp,A100_SXM4,936.0,936.0,3.295,0.333
gdp_per_capita,JPN,Japan,azure,H100_SXM5,0.0,0.0,0.291,0.0
gdp_per_capita,JPN,Japan,azure,A100_SXM4,0.0,0.0,0.899,0.0
gdp_per_capita,GBR,United Kingdom,aws,H100_SXM5,1979.0,1979.0,2.224,0.667
gdp_per_capita,GBR,United Kingdom,aws,A100_SXM4,1560.0,1560.0,5.931,0.556
gdp_per_capita,GBR,United Kingdom,gcp,H100_SXM5,1979.0,1979.0,2.29,0.667
gdp_per_capita,GBR,United Kingdom,gcp,A100_SXM4,1560.0,1560.0,5.951,0.556
gdp_per_capita,GBR,United Kingdom,azure,H100_SXM5,0.0,0.0,0.55,0.0
gdp_per_capita,GBR,United Kingdom,azure,A100_SXM4,312.0,312.0,1.542,0.5
gdp_per_capita,IND,India,aws,H100_SXM5,0.0,0.0,0.113,0.0
gdp_per_capita,IND,India,aws,A100_SXM4,0.0,0.0,0.3,0.0
gdp_per_capita,IND,India,gcp,H100_SXM5,0.0,0.0,0.11,0.0
gdp_per_capita,IND,India,gcp,A100_SXM4,0.0,0.0,0.288,0.0
gdp_per_capita,IND,India,azure,H100_SXM5,0.0,0.0,0.036,0.0
gdp_per_capita,IND,India,azure,A100_SXM4,0.0,0.0,0.066,0.0
gdp_per_capita,BRA,Brazil,aws,H100_SXM5,0.0,0.0,0.431,0.0
gdp_per_capita,BRA,Brazil,aws,A100_SXM4,312.0,156.0,1.149,0.111
gdp_per_capita,BRA,Brazil,gcp,H100_SXM5,0.0,0.0,0.443,0.0
gdp_per_capita,BRA,Brazil,gcp,A100_SXM4,312.0,156.0,1.152,0.111
gdp_per_capita,BRA,Brazil,azure,H100_SXM5,0.0,0.0,0.138,0.0
gdp_per_capita,BRA,Brazil,azure,A100_SXM4,0.0,0.0,0.194,0.0
gdp_per_capita,ARE,United Arab Emirates,aws,H100_SXM5,1979.0,989.5,2.1,0.667
gdp_per_capita,ARE,United Arab Emirates,aws,A100_SXM4,1560.0,780.0,5.6,0.556
gdp_per_capita,ARE,United Arab Emirates,gcp,H100_SXM5,1979.0,989.5,2.162,0.667
gdp_per_capita,ARE,United Arab Emirates,gcp,A100_SXM4,1560.0,780.0,5.619,0.556
gdp_per_capita,ARE,United Arab Emirates,azure,H100_SXM5,0.0,0.0,0.456,0.0
gdp_per_capita,ARE,United Arab Emirates,azure,A100_SXM4,312.0,156.0,1.289,0.5
gdp_per_capita,SGP,Singapore,aws,H100_SXM5,2968.5,1484.2,3.788,1.0
gdp_per_capita,SGP,Singapore,aws,A100_SXM4,3120.0,1560.0,10.1,1.111
gdp_per_capita,SGP,Singapore,gcp,H100_SXM5,2968.5,1484.2,3.634,1.0
gdp_per_capita,SGP,Singapore,gcp,A100_SXM4,2808.0,1404.0,9.429,1.0
gdp_per_capita,SGP,Singapore,azure,H100_SXM5,989.5,494.8,1.212,1.0
gdp_per_capita,SGP,Singapore,azure,A100_SXM4,936.0,468.0,3.205,1.5
gdp_per_capita,NGA,Nigeria,aws,H100_SXM5,0.0,0.0,0.045,0.0
gdp_per_capita,NGA,Nigeria,aws,A100_SXM4,0.0,0.0,0.121,0.0
gdp_per_capita,NGA,Nigeria,gcp,H100_SXM5,0.0,0.0,0.047,0.0
gdp_per_capita,NGA,Nigeria,gcp,A100_SXM4,0.0,0.0,0.121,0.0
gdp_per_capita,NGA,Nigeria,azure,H100_SXM5,0.0,0.0,0.014,0.0
gdp_per_capita,NGA,Nigeria,azure,A100_SXM4,0.0,0.0,0.038,0.0
gdp_per_capita,CHN,China,aws,H100_SXM5,0.0,0.0,0.556,0.0
gdp_per_capita,CHN,China,aws,A100_SXM4,0.0,0.0,1.482,0.0
gdp_per_capita,CHN,China,gcp,H100_SXM5,0.0,0.0,0.572,0.0
gdp_per_capita,CHN,China,gcp,A100_SXM4,0.0,0.0,1.487,0.0
gdp_per_capita,CHN,China,azure,H100_SXM5,0.0,0.0,0.178,0.0
gdp_per_capita,CHN,China,azure,A100_SXM4,0.0,0.0,0.47,0.0
rd_per_researcher,USA,United States,aws,H100_SXM5,2968.5,2968.5,3.531,1.0
rd_per_researcher,USA,United States,aws,A100_SXM4,2808.0,2808.0,9.416,1.0
rd_per_researcher,USA,United States,gcp,H100_SXM5,2968.5,2968.5,3.636,1.0
rd_per_researcher,USA,United States,gcp,A100_SXM4,2808.0,2808.0,9.448,1.0
rd_per_researcher,USA,United States,azure,H100_SXM5,989.5,989.5,1.13,1.0
rd_per_researcher,USA,United States,azure,A100_SXM4,624.0,624.0,2.988,1.0
rd_per_researcher,DEU,Germany,aws,H100_SXM5,1979.0,1979.0,2.522,0.667
rd_per_researcher,DEU,Germany,aws,A100_SXM4,1872.0,1872.0,6.726,0.667
